Source,Target
sbb,msb
sbb,foi
sbb,ruhb
msb,foi
msb,revinge
msb,sandö
msb,ruhb
msb,aftonbladet
msb,aftobladetsuger
msb,skudmättnad
msb,mediterranean
msb,6lımasa
msb,secim2023
msb,taf
msb,cumhurbaskani
msb,erdogan
msb,helalediyorum
msb,alikoçistifa
msb,besiktas
msb,fenerbace
msb,devamulandevam
msb,afad
msb,kizilay
msb,alikoci̇stifa
msb,galatasaraysk
msb,cybersäkerhet
msb,nätverk
msb,it
msb,cyberhot
msb,säkpol
msb,räddningstjänst
msb,civiltförsvar
msb,säpo
msb,omkrisenellerkriget
msb,överlevnad
msb,krisinfo
msb,russiagate
msb,turkiet
msb,turkey
msb,svepol
msb,regeringen
msb,ekot
msb,verseoftheday
msb,sharingaverse
msb,msbdiaries
msb,saekpol
msb,smo
msb,sgi
msb,översvämning
msb,klimatpol
msb,bopol
msb,svpol
msb,jordras
msb,sverigekrisen
msb,bristsverige
msb,inrikespolitik
msb,totalförsvar
msb,civilplikt
msb,krig
msb,nyheter
msb,mediestöd
msb,fofrk
msb,sälen
msb,kris
msb,türkiye
msb,som
msb,tuaf
msb,ankeborg
foi,räddningstjänst
foi,civiltförsvar
revinge,sandö
aftonbladet,aftobladetsuger
mediterranean,6lımasa
mediterranean,secim2023
mediterranean,taf
mediterranean,cumhurbaskani
mediterranean,erdogan
6lımasa,secim2023
6lımasa,taf
6lımasa,cumhurbaskani
6lımasa,erdogan
secim2023,taf
secim2023,cumhurbaskani
secim2023,erdogan
taf,cumhurbaskani
taf,erdogan
taf,türkiye
taf,som
taf,tuaf
cumhurbaskani,erdogan
helalediyorum,alikoçistifa
helalediyorum,besiktas
helalediyorum,fenerbace
helalediyorum,devamulandevam
helalediyorum,afad
helalediyorum,kizilay
helalediyorum,alikoci̇stifa
helalediyorum,galatasaraysk
alikoçistifa,besiktas
alikoçistifa,fenerbace
alikoçistifa,devamulandevam
alikoçistifa,afad
alikoçistifa,kizilay
besiktas,fenerbace
besiktas,devamulandevam
besiktas,afad
besiktas,kizilay
besiktas,alikoci̇stifa
besiktas,galatasaraysk
fenerbace,devamulandevam
fenerbace,afad
fenerbace,kizilay
fenerbace,alikoci̇stifa
fenerbace,galatasaraysk
devamulandevam,afad
devamulandevam,kizilay
devamulandevam,alikoci̇stifa
devamulandevam,galatasaraysk
afad,kizilay
afad,alikoci̇stifa
afad,galatasaraysk
kizilay,alikoci̇stifa
kizilay,galatasaraysk
alikoci̇stifa,galatasaraysk
cybersäkerhet,nätverk
cybersäkerhet,it
cybersäkerhet,cyberhot
nätverk,it
nätverk,cyberhot
it,cyberhot
räddningstjänst,civiltförsvar
räddningstjänst,civilplikt
överlevnad,krisinfo
turkey,svepol
turkey,regeringen
turkey,ekot
svepol,regeringen
svepol,ekot
regeringen,ekot
verseoftheday,sharingaverse
verseoftheday,msbdiaries
sharingaverse,msbdiaries
sgi,översvämning
sgi,klimatpol
sgi,bopol
sgi,svpol
sgi,jordras
översvämning,klimatpol
översvämning,bopol
översvämning,svpol
översvämning,jordras
klimatpol,bopol
klimatpol,svpol
klimatpol,jordras
bopol,svpol
bopol,jordras
svpol,jordras
svpol,sverigekrisen
svpol,bristsverige
svpol,inrikespolitik
sverigekrisen,bristsverige
sverigekrisen,inrikespolitik
bristsverige,inrikespolitik
totalförsvar,civilplikt
krig,nyheter
krig,mediestöd
krig,fofrk
krig,sälen
krig,kris
nyheter,mediestöd
nyheter,fofrk
nyheter,sälen
nyheter,kris
mediestöd,fofrk
mediestöd,sälen
mediestöd,kris
fofrk,sälen
fofrk,kris
sälen,kris
türkiye,som
türkiye,tuaf
som,tuaf
